dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.75,0.577183,0.603146,-81.55,-53.7192,12.1459,7.08289,-80.3288,-9.5606,7.44642,-52.3345,-81.415,-3.31016,7.10079,-52.7869,9.45122,-5.91139,
0.75,0.577555,0.603437,-55.2919,-34.9805,8.20991,4.80461,-54.4674,-6.21435,4.85145,-34.0805,-55.2001,-2.24977,4.81538,-34.375,6.1462,-3.848,
0.75,0.57774,0.60358,-79.4712,-54.0789,11.782,6.90713,-78.2888,-9.59835,7.50273,-52.6887,-79.3392,-3.23905,6.92213,-53.1442,9.4949,-5.94777,
0.75,0.578103,0.603883,-66.4581,-41.7311,9.82498,5.77741,-65.4734,-7.39123,5.79383,-40.6607,-66.3476,-2.71579,5.78992,-41.012,7.31619,-4.58797,
0.75,0.578484,0.60403,-58.7136,-55.9778,8.65129,5.10525,-57.8479,-9.90375,7.77493,-54.5433,-58.6158,-2.40649,5.11648,-55.0145,9.80695,-6.15313,
0.75,0.578667,0.604327,-79.0365,-32.0487,11.6289,6.87273,-77.8736,-5.65767,4.45426,-31.2293,-78.9047,-3.24398,6.88827,-31.4987,5.60714,-3.52158,
0.75,0.579029,0.604643,-65.6638,-39.5428,9.63653,5.71103,-64.7013,-6.96386,5.49969,-38.5343,-65.5541,-2.70231,5.72408,-38.8661,6.90898,-4.34354,
0.75,0.579421,0.604797,-48.2556,-51.3172,7.05783,4.19803,-47.5518,-9.02683,7.13968,-50.01,-48.1748,-1.99145,4.20754,-50.4401,8.96042,-5.63594,
0.75,0.579577,0.605109,-84.308,-33.8602,12.3241,7.33496,-83.0792,-5.94147,4.71402,-32.9998,-84.1668,-3.48375,7.35184,-33.2829,5.90479,-3.71749,
0.75,0.57996,0.60528,-49.1614,-48.6226,7.1644,4.2778,-48.448,-8.51956,6.77176,-47.389,-49.0788,-2.03668,4.2879,-47.7947,8.47373,-5.33736,
0.75,0.580131,0.605601,-78.8758,-26.4868,11.4833,6.8632,-77.733,-4.62806,3.69121,-25.8168,-78.7432,-3.27142,6.88028,-26.0367,4.61093,-2.90665,
0.75,0.580302,0.605761,-79.0743,-49.7167,11.5034,6.88072,-77.9299,-8.67624,6.93016,-48.4608,-78.9413,-3.28271,6.89813,-48.8728,8.65042,-5.45517,
0.75,0.580654,0.6061,-57.1224,-28.1083,8.29233,4.97106,-56.2982,-4.88986,3.92036,-27.4007,-57.0261,-2.37662,4.98405,-27.6321,4.88621,-3.08345,
0.75,0.58082,0.606266,-79.8452,-49.1545,11.5836,6.94908,-78.6943,-8.53803,6.85764,-47.9191,-79.7105,-3.32452,6.96711,-48.3224,8.54101,-5.39159,
0.75,0.581151,0.606614,-60.6634,-27.669,8.78613,5.28007,-59.791,-4.7902,3.86229,-26.9761,-60.5609,-2.5299,5.29406,-27.2014,4.80357,-3.03424,
0.75,0.581327,0.606784,-77.8616,-47.9168,11.2644,6.7777,-76.7437,-8.28218,6.69026,-46.719,-77.7299,-3.24902,6.79526,-47.1076,8.31549,-5.25411,
0.75,0.58166,0.606956,-57.0774,-48.5445,8.24458,4.96888,-56.2598,-8.37681,6.77949,-47.3333,-56.9807,-2.3841,4.98176,-47.7253,8.42139,-5.32245,
0.75,0.581824,0.607302,-81.0422,-26.4615,11.6967,7.05529,-79.8827,-4.55134,3.69685,-25.8037,-80.9049,-3.38614,7.07362,-26.0155,4.58742,-2.90075,
0.75,0.582032,0.607492,-73.2655,-45.1248,10.5889,6.37669,-72.2153,-7.74577,6.30563,-44.0055,-73.1412,-3.06537,6.39557,-44.3646,7.82089,-4.94631,
0.75,0.582192,0.607847,-81.651,-25.8396,11.7945,7.10677,-80.4815,-4.41977,3.61179,-25.2013,-81.5125,-3.41612,7.12755,-25.4047,4.47633,-2.83204,
0.75,0.582515,0.608041,-58.3059,-45.1001,8.40968,5.07474,-57.4726,-7.6976,6.305,-43.9888,-58.2069,-2.4402,5.08982,-44.3412,7.81165,-4.94278,
0.75,0.582688,0.608404,-79.5384,-24.0635,11.4632,6.92202,-78.4031,-4.09158,3.36469,-23.4732,-79.4032,-3.3297,6.94347,-23.6588,4.1667,-2.63705,
0.75,0.583008,0.608588,-59.7473,-47.0071,8.59954,5.19913,-58.8961,-7.97692,6.57331,-45.8566,-59.6456,-2.50223,5.21594,-46.2166,8.13846,-5.1512,
0.75,0.583171,0.608971,-79.9764,-19.5863,11.5031,6.95895,-78.8383,-3.30999,2.73899,-19.1092,-79.8402,-3.3497,6.98198,-19.2569,3.3905,-2.14624,
0.75,0.583513,0.60934,-58.1031,-23.914,8.34318,5.0548,-57.2784,-4.02682,3.34313,-23.3343,-58.004,-2.43357,5.07242,-23.5119,4.1393,-2.6204,
0.75,0.583678,0.609526,-78.2594,-44.6198,11.2281,6.8074,-77.15,-7.49965,6.23605,-43.5407,-78.1259,-3.27763,6.83204,-43.8693,7.72361,-4.88931,
0.75,0.584018,0.609904,-58.386,-22.7277,8.36158,5.07727,-57.5607,-3.80636,3.1747,-22.1806,-58.2863,-2.44443,5.09693,-22.3452,3.9341,-2.49042,
0.75,0.584185,0.610087,-76.8819,-43.832,11.0001,6.68464,-75.7967,-7.32852,6.12093,-42.7793,-76.7505,-3.21916,6.71162,-43.0943,7.58753,-4.80299,
0.75,0.584514,0.610468,-66.4522,-30.1354,9.49232,5.7758,-65.5166,-5.02037,4.20557,-29.4151,-66.3385,-2.7818,5.80101,-29.6278,5.21774,-3.30233,
0.75,0.584849,0.61065,-50.1049,-42.4406,7.14648,4.3531,-49.4012,-7.05987,5.92012,-41.4285,-50.019,-2.09594,4.37367,-41.7255,7.34921,-4.65091,
0.75,0.585013,0.611018,-76.6949,-16.3396,10.9311,6.66175,-75.6191,-2.70952,2.277,-15.9517,-76.5635,-3.20747,6.69459,-16.0639,2.83069,-1.79079,
0.75,0.585175,0.611201,-77.7855,-44.0445,11.0785,6.75505,-76.6956,-7.2924,6.13453,-43.0012,-77.6521,-3.25145,6.78948,-43.3008,7.63204,-4.82747,
0.75,0.585507,0.611579,-57.1085,-20.2437,8.12151,4.96139,-56.3099,-3.34082,2.81637,-19.7665,-57.0105,-2.38459,4.98423,-19.9014,3.50947,-2.21905,
0.75,0.585663,0.611764,-77.6932,-42.7104,11.0421,6.74802,-76.6079,-7.03697,5.93812,-41.7061,-77.5599,-3.242,6.78042,-41.9875,7.40675,-4.68216,
0.75,0.585983,0.61214,-66.5459,-29.7826,9.44481,5.77681,-65.6185,-4.89004,4.13573,-29.0858,-66.4317,-2.77217,5.80674,-29.2776,5.16775,-3.26539,
